mdb_id,gnd,qid,full_name,multi_role
11005061,,Q108756191,Martin Gassner-Herz,False
11005060,1045983292,Q15834076,Tessa Ganserer,False
11005059,1242168966,Q108738246,Schahina Gambir,False
11005058,,Q108756123,Maximilian Funke-Kaiser,False
11005057,,Q108756011,Fabian Funke,False
11005056,1206268514,Q88311083,Sebastian Fiedler,False
11005055,1242067868,Q108736876,Emilia Fester,False
11005054,1263243320,Q108755876,Ariane Fäscher,False
11005053,1066448574,Q23561061,Robert Farle,False
11005052,,Q108755811,Martina Englhardt-Kopf,False
11005051,,Q108755291,Heike Engelhardt,False
11005050,,Q108755186,Alexander Engelhard,False
11005049,,Q108754671,Sonja Eichwede,False
11005048,1227923759,Q15841669,Ralph Edelhäußer,False
11005047,,Q108737089,Leon Eckert,False
11005046,,Q108703331,Axel Echeverria,False
11005045,1256387355,Q108718714,Deborah Düring,False
11005044,,Q23063391,Falko Droßmann,False
11005043,1263243525,Q108738182,Felix Döring,False
11005042,,Q108753932,Thomas Dietz,False
11005041,1150976594,Q108753705,Jan Dieren,False
11005040,,Q108717683,Martin Diedenhofen,False
11005039,1177929252,Q27888351,Sandra Detzer,False
11005038,,Q108708881,Hakan Demir,False
11005037,124326179X,Q1898733,Mario Czaja,False
11005036,,Q108714276,Isabel Cademartori Dujisin,False
11005035,1243261854,Q108753543,Yannick Bury,False
11005034,124395457,Q90773,Frank Bsirske,False
11005033,1051162416,Q36313751,Marlon Bröhr,False
11005032,,Q108753285,Michael Breilmann,False
11005031,,Q108753147,Dirk Brandes,False
11005030,1257363301,Q108752900,Simone Borchardt,False
11005029,,Q40882357,Gereon Bollmann,False
11005028,,Q15810536,Friedhelm Boginski,False
11005027,,Q108752709,Ingo Bodtke,False
11005026,,Q108738695,René Bochmann,False
11005025,,Q108708990,Jakob Blankenburg,False
11005024,,Q108752434,Bengt Bergt,False
11005023,,Q1717016,Jürgen Berghahn,False
11005022,,Q108733098,Lukas Benner,False
11005021,,Q108708895,Holger Becker,False
11005020,,Q29958266,Roger Beckamp,False
11005019,1022508431,Q108705838,Katharina Beck,False
11005018,1104521148,Q23559850,Christina Baum,False
11005017,,Q1730608,Karl Bär,False
11005016,1242471170,Q17591264,Felix Banaszak,False
11005015,,Q108717680,Daniel Baldy,False
11005014,1239122748,Q108731849,Carolin Bachmann,False
11005013,1256387274,Q108733371,Tobias Bacherle,False
11005012,,Q108736333,Maik Außendorf,False
11005011,1024480925,Q108736132,Andreas Audretsch,False
11005010,1270863320,Q108717287,Johannes Arlt,False
11005009,,Q1157242,Dagmar Andres,False
11005008,,Q108735712,Muhanad Al-Halak,False
11005007,1137875720,Q87280096,Ali Al-Dailami,False
11005006,1248133013,Q108731156,Reem Alabali-Radovan,False
11005005,,Q96096131,Adis Ahmetovic,False
11005004,,Q108735609,Stephanie Aeffner,False
11005003,,Q108734080,Katja Adler,False
11005002,,Q108733370,Knut Abraham,False
11005001,,Q40091805,Valentin Abel,False
11005000,1242915788,Q108733090,Sanae Abdi,False
11004972,1240540493,Q108179918,Zeki Gökhan,False
11004971,1239014031,Q107585918,Florian Jäger,False
11004970,1216730873,Q55973910,Susanne Wetterich,False
11004969,1239013914,Q106807099,Marcel Emmerich,False
11004968,143432168,Q95321845,Christopher Gohl,False
11004967,1037845625,Q1885377,Maika Friemann-Jennert,False
11004966,123901418X,Q105887641,Kristina Nordt,False
11004962,1239014260,Q101481413,Janosch Dahmen,False
11004961,1229834281,Q101533533,Christian Natterer,False
11004960,1226967892,Q100717883,Wolfgang Wetzel,False
11004959,,Q1250211,Dorothee Martin,False
11004958,1239014481,Q95683263,Matthias Nölke,False
11004957,1065842341,Q84427302,Bela Bach,False
11004956,,Q84056228,Sandra Bubendorfer-Licht,False
11004954,136188737,Q2225665,Saskia Ludwig,False
11004953,1051756898,Q2374225,Sylvia Lehmann,False
11004952,1199652334,Q75097087,Reginald Hanke,False
11004951,101768782X,Q1067331,Charlotte Schneidewind-Hartnagel,False
11004950,112060463,Q72837814,Joe Weingarten,False
11004949,1189675587,Q64995051,Isabel Mackensen-Geis,False
11004948,1189498588,Q66762848,Peter Heidt,False
11004947,1242471200,Q60673734,Nezahat Baradari,False
11004946,1012191974,Q61829395,Gerhard Zickenheiner,False
11004942,1145201261,Q43464224,Marja-Liisa Völlers,False
11004941,1272540243,Q40999997,Gyde Jensen,False
11004938,1135149496,Q18169686,Paul Ziemiak,False
11004937,1227809468,Q40983704,Uwe Witt,False
11004936,1220511293,Q40473868,Christian Wirth,False
11004935,1228255288,Q40897036,Heiko Wildberg,False
11004934,1124747168,Q850085,Bettina Margarethe Wiesmann,False
11004933,1217213538,Q40980201,Wolfgang Wiehle,False
11004932,124472907,Q40477677,Harald Weyel,False
11004931,1201374537,Q40998975,Nicole Westig,False
11004930,1013560906,Q27975838,Alice Weidel,False
11004929,,Q40999117,Sandra Weeser,False
11004927,1282257773,Q40998098,Andreas Wagner,False
11004926,,Q1086155,Christoph de Vries,False
11004924,,Q40999043,Kerstin Vieregge,False
11004923,1210390108,Q40999439,Gerald Ullrich,False
11004922,111985552,Q38504341,Andrew Ullmann,False
11004921,1218796480,Q1901834,Markus Töns,False
11004918,1171187092,Q1223301,Dietlind Tiemann,False
11004917,1017687897,Q2643140,Alexander Throm,False
11004915,124392822,Q41580479,Hans-Jürgen Thies,False
11004914,141850639,Q109925,Michael Theurer,False
11004913,1154519961,Q1710235,Linda Teuteberg,False
11004912,113116144,Q1610440,Hermann-Josef Tebroke,False
11004911,1162515589,Q40997976,Jessica Tatti,False
11004910,1113761458,Q95577,Katja Suding,False
11004909,1169190510,Q40997607,Margit Stumpp,False
11004908,1185597123,Q40998001,Benjamin Strasser,False
11004907,115704736X,Q40999023,Friedrich Straetmanns,False
11004906,1154519880,Q15391841,Marie-Agnes Strack-Zimmermann,False
11004905,110188102X,Q14924803,Beatrix von Storch,False
11004904,1212673573,Q40999283,Mathias Stein,False
11004903,121221546X,Q40999248,Andreas Steier,False
11004902,1201612047,Q39080194,Bettina Stark-Watzinger,False
