period,protocol_number,last_name,first_name,group,party,function,function_group,politician_id,speech_name_data,generated_id,GND,QID
5,101,Mommer,Karl,,SPD,Vizepräsident,Sitzungsvorstand,11001529,Vizepräsident Dr. Mommer:,,12665736X,Q1560014
5,101,Gibbert,Paul,CDU/CSU,CDU,Abgeordnete:r,Abgeordnete:r,11000676,Gibbert (CDU/CSU):,,130331104,Q2059783
5,101,Seuffert,Walter,SPD,SPD,Abgeordnete:r,Abgeordnete:r,11002165,Seuffert (SPD) :,,117471046,Q2546303
5,101,Gibbert,Paul,CDU/CSU,CDU,Abgeordnete:r,Abgeordnete:r,11000676,Gibbert (CDU/CSU) :,,130331104,Q2059783
5,101,Mommer,Karl,,SPD,Vizepräsident,Sitzungsvorstand,11001529,Vizepräsident Dr. Mommer:,,12665736X,Q1560014
5,101,Schmidt,Hansheinrich,FDP,FDP,Abgeordnete:r,Abgeordnete:r,11002006,Schmidt (Kempten) (FDP) :,,1029298076,Q1583800
5,101,Mommer,Karl,,SPD,Vizepräsident,Sitzungsvorstand,11001529,Vizepräsident Dr. Mommer:,,12665736X,Q1560014
5,101,Stecker,Josef,CDU/CSU,CDU,Abgeordnete:r,Abgeordnete:r,11002225,Dr. Stecker (CDU/CSU) :,,1035154161,Q1432991
5,101,Mommer,Karl,,SPD,Vizepräsident,Sitzungsvorstand,11001529,Vizepräsident Dr. Mommer:,,12665736X,Q1560014
5,101,Funcke,Liselotte,FDP,FDP,Abgeordnete:r,Abgeordnete:r,11000620,Frau Funcke (FDP) :,,118832522,Q1485298
5,101,Mommer,Karl,,SPD,Vizepräsident,Sitzungsvorstand,11001529,Vizepräsident Dr. Mommer:,,12665736X,Q1560014
5,101,Eppler,Erhard,SPD,SPD,Abgeordnete:r,Abgeordnete:r,11000484,Dr. Eppler (SPD) :,,11853064X,Q71360
5,101,Mommer,Karl,,SPD,Vizepräsident,Sitzungsvorstand,11001529,Vizepräsident Dr. Mommer:,,12665736X,Q1560014
